Image,Name,Price,Size,Url
https://www.lobstersnowboards.com/1819lobster/prod_images/med/1819-eiki-954.png,Eiki Pro,US$459.95,"['148', '151', '154', '154W', '156']",https://www.lobstersnowboards.com/shop/eiki-pro--550
https://www.lobstersnowboards.com/1819lobster/prod_images/med/1819-boards-lobster-halldor-870.png,Halldor Pro,US$499.95,"['151', '154', '156W', '157', '159', '159W']",https://www.lobstersnowboards.com/shop/halldor-pro-model-519
https://www.lobstersnowboards.com/1819lobster/prod_images/med/1819-boards-lobster-jibboard-869.png,Jib board,US$389.95,"['144 - LAST FEW!', '148', '151', '153', '154W', '155']",https://www.lobstersnowboards.com/shop/jibboard-518
https://www.lobstersnowboards.com/1819lobster/prod_images/med/1819-park-951.png,Park board,US$399.95,"['148 - LAST FEW!', '151', '154 - SOLD OUT!!', '156W', '157']",https://www.lobstersnowboards.com/shop/parkboard--551
https://www.lobstersnowboards.com/1819lobster/prod_images/med/1819-stomper-952.png,Stomper,US$459.95,"['151', '154', '156W', '157', '159', '159W']",https://www.lobstersnowboards.com/shop/stomper-552
https://www.lobstersnowboards.com/1819lobster/prod_images/med/1819-sender-953.png,Sender,US$529.95,"['151', '154', '157', '159W', '162W']",https://www.lobstersnowboards.com/shop/the-sender--553
https://www.lobstersnowboards.com/1819lobster/prod_images/med/1819-deathlabel-949.png,Lobster x Death Label,US$399.95,"['151 - SOLD OUT!!', '153 - SOLD OUT!!', '155 - LAST FEW!']",https://www.lobstersnowboards.com/shop/lobster-x-death-label--556
https://www.lobstersnowboards.com/1819lobster/prod_images/med/1819-schoph-950.png,Schoph Artist Addition,US$489.95,"['148 - LAST FEW!', '151 - LAST FEW!', '153WIDE', '154', '157']",https://www.lobstersnowboards.com/shop/a-a--schoph-554
https://www.lobstersnowboards.com/1819lobster/prod_images/med/1819-danny-larsen-955.png,Larsen Artist Addition,US$549.95,"['153', '156', '158W', '159', '161W']",https://www.lobstersnowboards.com/shop/a-a--larsen-555
https://www.lobstersnowboards.com/1819switchback/prod_images/med/1819-web-halldor-966.png,Halldor Pro,US$289.95,['M-XL - SOLD OUT!!'],https://www.lobstersnowboards.com/shop/halldor-pro-562
https://www.lobstersnowboards.com/1819switchback/prod_images/med/1819-web-eiki-980.png,Eiki Pro,US$289.95,['M-XL'],https://www.lobstersnowboards.com/shop/eiki-pro-516
